name,summary,url,image_urls,text_length,word_count,sentences_count,complexity_score,readability_score,topic_keywords,age_group_hint,predicted_age_group
Banpo,"Banpo  is a Neolithic archaeological site located in the Yellow River valley, east of present-day Xi'an, China. Discovered in 1953 by Shi Xingbang, the site represents the first phase of the Yangshao culture (c. 5000 – c. 3000 BCE) and features the remains of several well organized settlements—including Jiangzhai, which has been radiocarbon dated to c. 4700 – c. 3600 BCE). An area of 5 to 6 hectares (12 to 15 acres) was surrounded by a ditch, probably a defensive moat 5 to 6 meters (16 to 20 ft) wide. The houses at Banpo were circular, built of mud and wood on low foundations, with overhanging thatched roofs. There also appear to have been communal burials.",https://en.wikipedia.org/wiki/Banpo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Yangshao_Village_Diorama.jpg/300px-Yangshao_Village_Diorama.jpg,665,116,8,127.78,131.58,"12, banpo, bce, located, site",unspecified,adult
Barbie,"Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9, 1959. The toy was based on the German Bild Lilli doll which Handler had purchased while in Europe. The figurehead of an eponymous brand that includes a range of fashion dolls and accessories, Barbie has been an important part of the toy fashion doll market for over six decades. Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line. The brand has expanded into a multimedia franchise since 1984, including video games, animated films, television/web series, and a live-action film.
Barbie and her male counterpart, Ken, have been described as the two most popular dolls in the world. Mattel generates a large portion of Barbie's revenue through related merchandise —accessories, clothes, friends, and relatives of Barbie. Writing for Journal of Popular Culture in 1977, Don Richard Cox noted that Barbie has a significant impact on social values by conveying characteristics of female independence, and with her multitude of accessories, an idealized upscale lifestyle that can be shared with affluent friends.",https://en.wikipedia.org/wiki/Barbie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barbie_Logo.svg/220px-Barbie_Logo.svg.png,1221,191,8,345.47,112.18,"accessories, barbie, doll, fashion, mattel",unspecified,adult
Barbie,"Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9, 1959. The toy was based on the German Bild Lilli doll which Handler had purchased while in Europe. The figurehead of an eponymous brand that includes a range of fashion dolls and accessories, Barbie has been an important part of the toy fashion doll market for over six decades. Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line. The brand has expanded into a multimedia franchise since 1984, including video games, animated films, television/web series, and a live-action film.
Barbie and her male counterpart, Ken, have been described as the two most popular dolls in the world. Mattel generates a large portion of Barbie's revenue through related merchandise —accessories, clothes, friends, and relatives of Barbie. Writing for Journal of Popular Culture in 1977, Don Richard Cox noted that Barbie has a significant impact on social values by conveying characteristics of female independence, and with her multitude of accessories, an idealized upscale lifestyle that can be shared with affluent friends.",https://en.wikipedia.org/wiki/Barbie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barbie_Logo.svg/220px-Barbie_Logo.svg.png,1221,191,8,345.47,112.18,"accessories, barbie, doll, fashion, mattel",unspecified,adult
Bayko,"Bayko was a British building model construction toy invented by Charles Plimpton, an early plastics engineer and entrepreneur in Liverpool. First marketed in Britain it was soon exported throughout the British Commonwealth and became a worldwide brand between 1934 and 1967. The name derived from Bakelite, one of the world's first commercial plastics that was originally used to manufacture many of the parts. Bayko was one of the world's earliest plastic toys to be marketed.",https://en.wikipedia.org/wiki/Bayko,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bayko_brand_logo.png/200px-Bayko_brand_logo.png,477,75,4,155.83,117.87,"bayko, british, marketed, plastics, world",unspecified,adult
Beanie Babies,"Beanie Babies are a line of stuffed toys created by American businessman Ty Warner, who founded Ty Inc. in 1986. The toys are stuffed with plastic pellets (""beans"") rather than conventional soft stuffing. They come in many different forms, mostly animals.
Created in 1993, Beanie Babies emerged as a major fad and collectible during the second half of the 1990s. They have been cited as being the world's first Internet sensation. They were collected not only as toys but also as a financial investment, due to their high resale value.",https://en.wikipedia.org/wiki/Beanie_Babies,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Beanie_Babies_Logo.jpg/220px-Beanie_Babies_Logo.jpg,535,90,7,113.98,124.22,"babies, beanie, stuffed, toys, ty",unspecified,children
Beatrix Potter,"Helen Beatrix Heelis (née Potter;  28 July 1866 – 22 December 1943), usually known as Beatrix Potter ( BEE-ə-triks), was an English writer, illustrator, natural scientist, and conservationist. She is best known for her children's books featuring animals, such as The Tale of Peter Rabbit, which was her first commercially published work in 1902. Her books, including The Tale of Jemima Puddle Duck and The Tale of Tom Kitten, have sold more than 250 million copies. An entrepreneur, Potter was a pioneer of character merchandising. In 1903, Peter Rabbit was the first fictional character to be made into a patented stuffed toy, making him the oldest licensed character.
Born into an upper-middle-class household, Potter was educated by governesses and grew up isolated from other children. She had numerous pets and spent holidays in Scotland and the Lake District, developing a love of landscape, flora and fauna, all of which she closely observed and painted. Potter's study and watercolours of fungi led to her being widely respected in the field of mycology. In her thirties, Potter self-published the highly successful children's book The Tale of Peter Rabbit. Following this, Potter began writing and illustrating children's books full-time.
Potter wrote over sixty books, with the best known being her twenty-three children's tales. In 1905, using the proceeds from her books and a legacy from an aunt, Potter bought Hill Top Farm in Near Sawrey, a village in the Lake District. Over the following decades, she purchased additional farms to preserve the unique hill country landscape. In 1913, at the age of 47, she married William Heelis (1871–1945), a respected local solicitor with an office in Hawkshead. Potter was also a prize-winning breeder of Herdwick sheep and a prosperous farmer keenly interested in land preservation. She continued to write, illustrate, and design merchandise based on her children's books for British publisher Warne until the duties of land management and her diminishing eyesight made it difficult to continue.
Potter died of pneumonia and heart disease on 22 December 1943 at her home in Near Sawrey at the age of 77, leaving almost all her property to the National Trust. She is credited with preserving much of the land that now constitutes the Lake District National Park. Potter's books continue to sell throughout the world in many languages with her stories being retold in songs, films, ballet, and animations, and her life is depicted in two films – The Tales of Beatrix Potter (1983) and Miss Potter (2006).",https://en.wikipedia.org/wiki/Beatrix_Potter,https://upload.wikimedia.org/wikipedia/commons/9/93/Beatrix_Potter_by_King_cropped.jpg,2557,413,18,612.57,113.49,"books, children, district, potter, tale",,children
Bert and Ernie,"Bert and Ernie are two Muppet characters who appear together in numerous skits on the PBS/HBO children's television show Sesame Street. Ernie acts the role of the naïve troublemaker, while Bert is  the world-weary foil.
Originated by Frank Oz and Jim Henson, the characters are currently performed by puppeteers Eric Jacobson and Peter Linz; Oz performed Bert until 2006.",https://en.wikipedia.org/wiki/Bert_and_Ernie,https://upload.wikimedia.org/wikipedia/en/a/ab/Bert_sesamestreet.jpg,371,59,3,89.9,113.74,"bert, characters, ernie, oz, performed",,adult
Bild Lilli doll,"The Bild Lilli doll was a West German line of fashion doll launched by Greiner & Hausser GmbH on August 12, 1955 and produced until 1964. Its design was based on the comic-strip character Lilli, created by Reinhard Beuthien for the tabloid newspaper Bild. The doll was made of polystyrene, came in two sizes, and had an available wardrobe of 1950s fashion. The Lilli doll was copied, and altered to some degree, for Mattel upon the direction of that company's co-founder, Ruth Handler. Mattel acquired the rights to Bild Lilli in 1964, and production of the German doll ceased in favor of Mattel's new vinyl doll, which they called Barbie.",https://en.wikipedia.org/wiki/Bild_Lilli_doll,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bild_Lilli_Hong_Kong_clone.jpg/220px-Bild_Lilli_Hong_Kong_clone.jpg,639,110,5,130.09,113.75,"bild, doll, fashion, lilli, mattel",unspecified,adult
Bone,"A bone is a rigid organ that constitutes part of the skeleton in most vertebrate animals. Bones protect the various other organs of the body, produce red and white blood cells, store minerals, provide structure and support for the body, and enable mobility. Bones come in a variety of shapes and sizes and have complex internal and external structures. They are lightweight yet strong and hard and serve multiple functions.
Bone tissue (osseous tissue), which is also called bone in the uncountable sense of that word, is hard tissue, a type of specialised connective tissue. It has a honeycomb-like matrix internally, which helps to give the bone rigidity. Bone tissue is made up of different types of bone cells. Osteoblasts and osteocytes are involved in the formation and mineralisation of bone; osteoclasts are involved in the resorption of bone tissue. Modified (flattened) osteoblasts become the lining cells that form a protective layer on the bone surface. The mineralised matrix of bone tissue has an organic component of mainly collagen called ossein and an inorganic component of bone mineral made up of various salts. Bone tissue is mineralized tissue of two types, cortical bone and cancellous bone. Other types of tissue found in bones include bone marrow, endosteum, periosteum, nerves, blood vessels and cartilage.
In the human body at birth, approximately 300 bones are present. Many of these fuse together during development, leaving a total of 206 separate bones in the adult, not counting numerous small sesamoid bones. The largest bone in the body is the femur or thigh-bone, and the smallest is the stapes in the middle ear.
The Greek word for bone is ὀστέον (""osteon""), hence the many terms that use it as a prefix—such as osteopathy. In anatomical terminology, including the Terminologia Anatomica international standard, the word for a bone is os (for example, os breve, os longum, os sesamoideum).",https://en.wikipedia.org/wiki/Bone,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Left_femur_of_extinct_elephant%2C_Alaska%2C_Ice_Age_Wellcome_L0057714.jpg/250px-Left_femur_of_extinct_elephant%2C_Alaska%2C_Ice_Age_Wellcome_L0057714.jpg,1924,312,16,454.95,119.25,"body, bone, bones, os, tissue",,adult
Britains,"Britains, earlier known by the founder's name W. Britain, is a British toy brand and former manufacturing company known for its die-cast scale models of agricultural machinery, and figurines. The company was established in 1893 as a toy soldiers manufacturer.
With its factory set in London, Britains then diversified into other associated toys such as die-cast zamac military trucks, commercial vehicles, and toy cars.
Today, the Britains brand is owned by Tomy since 2011, and the W. Britain brand by First Gear, Inc.",https://en.wikipedia.org/wiki/Britains,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Britains_brand_logo.png/220px-Britains_brand_logo.png,519,83,6,142.16,122.46,"brand, britain, britains, cast, toy",unspecified,children
Carpenter and Westley,"Carpenter and Westley were a British optical, mathematical and scientific instrument makers between 1808 and 1914.  The company was founded by Philip Carpenter (18 November 1776, Kidderminster – 20 April 1833, London) and, after his death, was continued by his sister Mary Carpenter alongside former apprentice William Westley.  The company's contribution to the development of magic lanterns was significant and Philip Carpenter pioneered the use of copperplate slides.",https://en.wikipedia.org/wiki/Carpenter_and_Westley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Magic_lantern_slide_Carpenter_and_Westley.jpg/220px-Magic_lantern_slide_Carpenter_and_Westley.jpg,470,68,3,171.01,109.18,"carpenter, company, london, philip, westley",,adult
Choking,"‹The template How-to is being considered for merging.› 

Choking, also known as foreign body airway obstruction (FBAO), is a phenomenon that occurs when breathing is impeded by a blockage inside of the respiratory tract. An obstruction that prevents oxygen from entering the lungs results in oxygen deprivation. Although oxygen stored in the blood and lungs can keep a person alive for several minutes after breathing stops, choking often leads to death.
Around 4,500 to 5,000 choking-related deaths occur in the United States every year. Deaths from choking most often occur in the very young (children under three years old) and in the elderly (adults over 75 years). Foods that can adapt their shape to that of the pharynx (such as bananas, marshmallows, or gelatinous candies) are more dangerous. Various forms of specific first aid are used to address and resolve choking.
Choking is the fourth leading cause of unintentional injury death in the United States. Many episodes go unreported because they are brief and resolve without needing medical attention. Of the reported events, 80% occur in people under 15 years of age, and 20% occur in people older than 15 years of age. Worldwide, choking on a foreign object resulted in 162,000 deaths (2.5 per 100,000) in 2013, compared with 140,000 deaths (2.9 per 100,000) in 1990.",https://en.wikipedia.org/wiki/Choking,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Abdominal_thrusts3.jpg/220px-Abdominal_thrusts3.jpg,1331,217,13,318.0,120.89,"000, choking, deaths, occur, years",,adult
Clay,"Clay is a type of fine-grained natural soil  material containing clay minerals (hydrous aluminium phyllosilicates, e.g. kaolinite, Al2Si2O5(OH)4). Most pure clay minerals are white or light-coloured, but natural clays show a variety of colours from impurities, such as a reddish or brownish colour from small amounts of iron oxide.
Clays develop plasticity when wet but can be hardened through firing. Clay is the longest-known ceramic material. Prehistoric humans discovered the useful properties of clay and used it for making pottery. Some of the earliest pottery shards have been dated to around 14,000 BCE, and clay tablets were the first known writing medium. Clay is used in many modern industrial processes, such as paper making, cement production, and chemical filtering. Between one-half and two-thirds of the world's population live or work in buildings made with clay, often baked into brick, as an essential part of its load-bearing structure.
Clay is a very common substance. Shale, formed largely from clay, is the most common sedimentary rock. Although many naturally occurring deposits include both silts and clay, clays are distinguished from other fine-grained soils by differences in size and mineralogy. Silts, which are fine-grained soils that do not include clay minerals, tend to have larger particle sizes than clays. Mixtures of sand, silt and less than 40% clay are called loam. Soils high in swelling clays (expansive clay), which are clay minerals that readily expand in volume when they absorb water, are a major challenge in civil engineering.",https://en.wikipedia.org/wiki/Clay,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nuvola_apps_kaboodle.svg/16px-Nuvola_apps_kaboodle.svg.png,1574,245,15,401.41,118.43,"clay, clays, fine, minerals, soils",unspecified,adult
Cymbal-banging monkey toy,"A cymbal-banging monkey toy (also known as Jolly Chimp) is a mechanical depiction of a monkey holding a cymbal in each hand. When activated it repeatedly bangs its cymbals together and, in some cases, bobs its head, chatters, screeches, grins, and more. There are both traditional wind-up versions and updated battery-operated cymbal-banging monkeys. The cymbal-banging monkey toy is an example of singerie and kitsch.",https://en.wikipedia.org/wiki/Cymbal-banging_monkey_toy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Musical_Jolly_Chimp1.jpg/200px-Musical_Jolly_Chimp1.jpg,418,64,4,116.48,123.18,"activated, banging, cymbal, monkey, toy",unspecified,children
David Brewster,"Sir David Brewster KH PRSE FRS FSA Scot FSSA MICE (11 December 1781 – 10 February 1868) was a Scottish scientist, inventor, author, and academic administrator. In science he is principally remembered for his experimental work in physical optics, mostly concerned with the study of the polarization of light and including the discovery of Brewster's angle. He studied the birefringence of crystals under compression and discovered photoelasticity, thereby creating the field of optical mineralogy. For this work, William Whewell dubbed him the ""father of modern experimental optics"" and ""the Johannes Kepler of optics.""
Brewster was a pioneer in photography. He invented an improved stereoscope, which he called ""lenticular stereoscope"" and which became the first portable 3D-viewing device. He also invented the stereoscopic camera, two types of polarimeters, the polyzonal lens, the lighthouse illuminator, and the kaleidoscope.
Brewster was a devout Presbyterian and marched arm-in-arm with his brother during the events of the Disruption of 1843, which led to the formation of the Free Church of Scotland. As a historian of science, Brewster focused on the life and work of his hero, Isaac Newton.  Brewster published a detailed biography of Newton in 1831 and later became the first scientific historian to examine many of the papers in Newton's Nachlass.  Brewster also wrote numerous works of popular science, and was one of the founders of the British Science Association, of which he was elected president in 1849.  He became the public face of higher education in Scotland, serving as Principal of the University of St Andrews (1837–1859) and later of the University of Edinburgh (1859–1868). Brewster also edited the 18-volume Edinburgh Encyclopædia.",https://en.wikipedia.org/wiki/David_Brewster,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/David_Brewster_1618.jpg/220px-David_Brewster_1618.jpg,1760,270,12,562.13,116.63,"brewster, newton, optics, science, work",unspecified,adult
